Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Pinero","TBR",0.25,1,0.9411,0.1397,0.1161,0.0169,0.0013,0.0054,0.06,0.0555,0.038,0,0.2868,0.011,0.007,0.0029,,0.0089,0.0025,0.148443,0.038,0.2868,0.132497,0.189249,0.186378,0.171307,0.375626,0.0379343,3.58995,0.204757,0,-0.000535555,0.00520577,-0.111772,8.34196,-0.000535555,0,-0.10541157401166856,0.004000000189989805,-0.00703074,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Aaron Pinero","sa3023783",821775
"Arol Vera","LAA",0.51,2.0549,1.9069,0.3645,0.2743,0.069,0.0039,0.0173,0.1582,0.143,0.1112,0.0021,0.5946,0.0164,0.0144,0.006,,0.0226,0.0069,0.191148,0.0541147,0.289358,0.187016,0.240178,0.25864,0.223307,0.498817,0.0674917,3.85793,0.26516,0,-0.00142993,0.0966992,-0.143678,39.0973,-0.00142993,0,-0.14462636830285192,0.00800000037997961,-0.00703583,999,,,,,,,-2,-2,-2,-2,0.037,0.058,0.08,0.105,0.135,0.174,0.229,0.314,0.488,0.196,0.205,0.211,0.217,0.222,0.228,0.234,0.242,0.252,"Arol Vera","sa3014687",691186
"Anthony Marquez","SFG",0.25,1,0.9342,0.1412,0.116,0.0171,0.0021,0.006,0.0618,0.056,0.0439,0,0.2904,0.012,0.007,0.0029,,0.0104,0.0029,0.151145,0.0439,0.2904,0.151171,0.197673,0.193213,0.17878,0.390887,0.0420681,3.93636,0.209677,0,-0.000451226,0.0112198,-0.105758,11.9645,-0.000451226,0,-0.10572477817186154,0.004000000189989805,-0.00706665,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Anthony Marquez","sa3023960",821645
"Pedro Roque","KCR",0.25,1,0.9232,0.1352,0.1094,0.0162,0.002,0.0077,0.0656,0.0577,0.0569,0,0.3023,0.01,0.007,0.0029,,0.0123,0.0034,0.146447,0.0569,0.3023,0.188224,0.202688,0.193458,0.182686,0.396145,0.0470104,4.09558,0.205579,0,-0.000308456,0.0143642,-0.102614,7.82726,-0.000308456,0,-0.10577339862356894,0.004000000189989805,-0.00706811,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Pedro Roque","sa3021300",808698
"Jemone Nuel","BAL",0.25,1,0.9266,0.1157,0.0921,0.0142,0.0013,0.0081,0.0599,0.0531,0.0535,0,0.3985,0.01,0.007,0.0029,,0.0126,0.0035,0.124865,0.0535,0.3985,0.134253,0.179721,0.169221,0.162228,0.348942,0.0443557,4.2415,0.204175,0,-0.000125583,-0.00210163,-0.11908,0.529645,-0.000125583,0,-0.11394052591640502,0.012000000104308128,-0.00708537,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Jemone Nuel","sa3024356",821688
"Lisandro Bonifacio","MIA",0.25,1,0.9311,0.136,0.1119,0.0178,0.0015,0.0049,0.059,0.0527,0.049,0,0.3092,0.01,0.007,0.0029,,0.0119,0.0034,0.146064,0.049,0.3092,0.158473,0.195567,0.184298,0.174897,0.379865,0.0382343,3.98724,0.210096,0,-0.000345837,0.00809494,-0.108883,4.76225,-0.000345837,0,-0.11423185779131018,0.012000000104308128,-0.00711902,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Lisandro Bonifacio","sa3018583",800520
"Albert Carpio",,0.25,1,0.9351,0.1431,0.119,0.0176,0.0017,0.0049,0.0627,0.0561,0.042,0,0.2394,0.013,0.007,0.0029,,0.0108,0.0031,0.153032,0.042,0.2394,0.175439,0.198676,0.191316,0.178572,0.389993,0.0382847,4.01907,0.198051,0,-0.000468801,0.0110524,-0.105926,9.52193,-0.000468801,0,-0.10632892287685536,0.004000000189989805,-0.00712726,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Albert Carpio","sa3018518",800330
"Yefri Rivera",,0.25,1,0.9391,0.1451,0.1194,0.0185,0.0018,0.0054,0.0627,0.0571,0.041,0,0.262,0.01,0.007,0.0029,,0.0116,0.0033,0.15451,0.041,0.262,0.156489,0.19667,0.195293,0.178387,0.391964,0.0407837,4.0696,0.205835,0,-0.00036139,0.0109037,-0.106074,9.39483,-0.00036139,0,-0.10637021763250232,0.004000000189989805,-0.00713153,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Yefri Rivera","sa3015784",699051
"Erick Barria",,0.25,1,0.9331,0.14,0.1149,0.0175,0.0017,0.0059,0.0629,0.0564,0.046,0,0.2827,0.011,0.007,0.0029,,0.0115,0.0032,0.150038,0.046,0.2827,0.162717,0.197573,0.191405,0.178196,0.388978,0.0413675,4.06152,0.205833,0,-0.000352728,0.01075,-0.106228,9.26342,-0.000352728,0,-0.10651530572795309,0.004000000189989805,-0.00714651,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Erick Barria","sa3016542",693720
"Anthony Tandron","SFG",0.25,1,0.9422,0.1363,0.1127,0.0165,0.0019,0.0052,0.058,0.0534,0.0379,0,0.3189,0.01,0.007,0.0029,,0.0107,0.003,0.144661,0.0379,0.3189,0.118846,0.184736,0.182764,0.167552,0.367499,0.0381023,3.99946,0.209726,0,-0.000342542,0.00218307,-0.114795,4.40745,-0.000342542,0,-0.1146528365497943,0.012000000104308128,-0.0071625,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Anthony Tandron","sa3021311",809779
