Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Scott Alexander","COL",2.803499937057495,2.677299976348877,0,3.721599953515189,56,0,0,8.618300437927246,,56,238.9080047607422,56.27000045776367,25.517333984375,23.1566219329834,5.170044422149658,18.727643966674805,2.234745502471924,2.4853599071502686,45.41724395751953,7.2991999217442105,3.0097999232155934,2.4251445637442672,0.8308999964169094,0.1901034835689297,0.07838851605424385,0.11171496751468585,0.25848090322934625,1.3392436504364014,0.3057905303646453,0.7302334047693189,0.533000010107252,,3.8810351567608974,,,999,,,,,,,266.1751304626465,4.753127329690116,274.45810055732727,4.901037509952273,6.17,5.23,4.65,4.2,3.83,3.48,3.15,2.8,2.37,4.87,4.57,4.37,4.21,4.06,3.92,3.77,3.6,3.39,"Scott Alexander","10591",518397
"Victor Vodnik","COL",3.2527999877929688,3.108799934387207,0,3.7567999913142276,65,0,3.8929998874664307,12.513400077819824,,65,278.9700012207031,58.64228439331055,29.640722274780273,27.132444381713867,6.392388820648193,29.657333374023438,1.5170388221740723,2.5506227016448975,66.59972381591797,9.221500220665565,4.106400005634015,2.2456410013670345,0.8850999905512883,0.23873435682867045,0.10631011665860253,0.13242424017006793,0.23764709989675864,1.3584556579589844,0.3006843290919502,0.7392399920695434,0.4799999890606234,,3.88225632080665,,,671.7899780273438,,,,,,,355.99785723686216,5.476890111336341,347.99312448501587,5.353740376692552,6.04,5.18,4.64,4.22,3.86,3.54,3.22,2.88,2.47,4.84,4.56,4.37,4.21,4.07,3.93,3.79,3.63,3.42,"Victor Vodnik","24614",680767
"Albert Suárez","BAL",3.2035999298095703,2.8650999069213867,0,3.834600079444147,62,0,0,7.866199970245361,,62,258.9809875488281,57.85635757446289,28.36913299560547,26.416133880615234,8.261844635009766,17.1478214263916,1.8405779600143433,2.219726085662842,60.367332458496094,8.762999873007498,2.4891998844762004,3.520408275630097,1.199300027662708,0.233095614584891,0.0662126652179769,0.1668829493669141,0.241457063366661,1.2097448225944274,0.29005308491991727,0.7351326117240972,0.3749999981587948,,3.888608131101055,,,645.2899780273438,,,,,,,300.8496035575866,4.852412960606236,296.69284200668335,4.7853684194626345,6.08,5.21,4.66,4.23,3.87,3.54,3.22,2.87,2.46,4.83,4.56,4.37,4.22,4.08,3.95,3.81,3.66,3.45,"Albert Suarez","6175",544150
"Taylor Rogers","CIN",3.1963000297546387,2.872299909591675,0,3.736699934928648,62,0,4.230999946594238,12.84060001373291,,62,263.6050109863281,54.679588317871094,27.876577377319336,25.741710662841797,7.1368889808654785,25.140310287475586,1.604563593864441,3.1790761947631836,66.31037902832031,9.625700181530368,3.6493998804400043,2.6376117983458167,1.0360000133514404,0.2515520428849492,0.09537113954476187,0.15618090334018733,0.23239663890694157,1.2874177194410754,0.2937665728118215,0.7438725476957078,0.42000000868275766,,3.894172651537003,,,543.7899780273438,,,,,,,349.0293343067169,5.629505392043821,337.4004416465759,5.441942607202837,6,5.13,4.58,4.16,3.8,3.47,3.15,2.81,2.4,4.76,4.49,4.3,4.15,4.01,3.88,3.74,3.58,3.38,"Taylor Rogers","13449",573124
"Brendon Little","TOR",3.0469000339508057,2.7281999588012695,0,3.6124999159473483,59,0,0,12.053099632263184,,59,254.30999755859375,56.72893524169922,26.28515625,23.681943893432617,4.679355621337891,25.89247703552246,1.538575530052185,2.560138702392578,51.23035430908203,7.814799809859971,3.9496998867746127,1.9785806602743328,0.7138000100345935,0.2014484479607547,0.10181462500135002,0.09963382295940468,0.25117149054149407,1.4003629199529097,0.3062682709414906,0.74058134853429,0.5679999917198972,,3.907645230374094,,,999,,,,,,,296.8639541625977,5.031592443433859,299.4836368560791,5.0759938450182895,6,5.1,4.54,4.11,3.75,3.42,3.09,2.75,2.34,4.73,4.46,4.27,4.11,3.97,3.84,3.7,3.54,3.33,"Brendon Little","21574",663893
"José Suarez","LAA",3.0632998943328857,2.8094000816345215,0,3.681200122833252,60,0,0,10.365099906921387,,60,252.20700073242188,54.91555404663086,26.518667221069336,24.54133415222168,7.565999984741211,19.01533317565918,2.7694849967956543,2.67667293548584,59.465999603271484,8.919899940490723,2.8522999763488768,3.1272657204550955,1.1348999977111816,0.23578250972645176,0.07539573889875258,0.1603867708276992,0.23822985631305252,1.232181453704834,0.2896298422490691,0.7485530846171615,0.39599999703544836,,3.908180093765259,,,999,,,,,,,303.4741401672363,5.0579023361206055,296.9583806991577,4.949306344985962,5.92,5.05,4.5,4.08,3.73,3.4,3.08,2.75,2.35,4.62,4.38,4.21,4.07,3.95,3.83,3.7,3.56,3.37,"Jose Suarez","19911",660761
"John King","STL",2.8066000938415527,2.6742000579833984,0,3.7829998561314175,56,0,0,9.774200439453125,,56,239.11199951171875,59.00566864013672,26.012622833251953,23.538665771484375,4.952266693115234,17.018400192260742,1.3791980743408203,2.0699925422668457,40.016357421875,6.431200299944196,2.735100030899048,2.3513583515372245,0.7959000042506627,0.16735403285318526,0.07117334231244501,0.09618069054074024,0.2681788081943831,1.3575726577213831,0.3087795681390397,0.7238500190900791,0.5580000069238624,,3.909549963474274,,,999,,,,,,,261.9367196083069,4.6774414215769085,277.4848713874817,4.955086989062173,6.24,5.32,4.74,4.29,3.91,3.57,3.23,2.88,2.45,4.9,4.62,4.44,4.28,4.15,4.01,3.87,3.72,3.51,"John King","22051",667463
"Ryan Thompson","ARI",3.2283999919891357,2.937999963760376,0,3.8689000265938893,63,0,0,12.867400169372559,,63,267.4020080566406,62.85818862915039,29.659700393676758,27.082300186157227,6.414100170135498,19.744199752807617,1.6327565908432007,2.6772289276123047,51.56129837036133,7.365899767194476,2.8205999646868025,2.611465595764616,0.9163000243050712,0.1928231532182051,0.07383714092612736,0.11898601229207773,0.25658437411325585,1.3111490219358415,0.3018316829874282,0.7191087161778832,0.5130000099432463,,3.920844722929455,,,748.6900024414062,,,,,,,311.20318884849553,4.9397331563253255,318.94460916519165,5.062612843891931,6.22,5.34,4.79,4.36,3.99,3.66,3.33,2.98,2.56,4.97,4.69,4.5,4.34,4.2,4.06,3.92,3.76,3.55,"Ryan Thompson","16647",657044
"Sean Hjelle","SFG",3.2400999069213867,3.2188000679016113,0,3.829100001942028,66,0,0,12.960000038146973,,66,281.57000732421875,66.74617004394531,30.852800369262695,28.080066680908203,6.449666500091553,20.428466796875,1.5928415060043335,4.023635387420654,53.48419952392578,7.293299935080788,2.7857000177556817,2.618121078577831,0.8794999772852118,0.18994991701065822,0.07255199866991616,0.11739791834074206,0.2595936288747459,1.3208278309215198,0.3057879522815291,0.7207340418722793,0.5370000092261562,,3.9275945056568493,,,749.030029296875,,,,,,,320.98115258216865,4.863350796699525,331.6064281463623,5.024339820399429,6.12,5.28,4.74,4.33,3.97,3.65,3.33,2.99,2.58,4.87,4.62,4.45,4.31,4.18,4.05,3.92,3.77,3.58,"Sean Hjelle","21481",663546
"Brenan Hanifee","DET",2.680999994277954,2.701200008392334,0,3.844399920376864,55,0,0,6.38100004196167,,55,233.05099487304688,55.68520736694336,25.722278594970703,23.493555068969727,5.8202223777771,15.874221801757812,1.2799160480499268,2.2871625423431396,44.13444519042969,7.2220001220703125,2.597599931196733,2.780258820973669,0.9524000254544345,0.18937677230029273,0.06811479955451466,0.12126197274577807,0.2591340141102005,1.3010805303400212,0.30233123493446773,0.7228566872062174,0.5049999981176215,,3.9279007521542635,,,999,,,,,,,249.93846311569214,4.544335693012584,258.6458466053009,4.702651756460017,6.3,5.36,4.77,4.32,3.94,3.59,3.25,2.89,2.46,4.93,4.66,4.47,4.31,4.17,4.04,3.9,3.74,3.53,"Brenan Hanifee","22304",669724
"Luke Jackson","TEX",2.9430999755859375,2.7337000370025635,0,3.858900103075751,58,0,0,7.242300033569336,,58,248.5,52.58757019042969,27.03444480895996,24.868467330932617,6.181510925292969,25.177799224853516,1.4174439907073975,2.4477250576019287,59.42164611816406,9.220600259715113,3.906899879718649,2.360081021676738,0.9591999711661503,0.23912131234673667,0.10131911156882703,0.13780220077790964,0.23808803629116002,1.3407822312979862,0.29887077447021904,0.7340472293894531,0.459999997236839,,3.9318749962181885,,,750.6199951171875,,,,,,,281.37565264701846,4.851304355983077,274.57627749443054,4.734073749903975,6.24,5.33,4.75,4.31,3.93,3.59,3.25,2.9,2.47,4.95,4.66,4.46,4.3,4.16,4.02,3.87,3.71,3.49,"Luke Jackson","11752",592426
"Tyler Kinley","COL",3.1872000694274902,3.0764000415802,0,3.8619000613689423,64,0,16.868999481201172,6.612299919128418,,64,271.3009948730469,55.63298416137695,29.479110717773438,27.462400436401367,8.041955947875977,25.67182159423828,1.4281284809112549,2.536935567855835,70.04515838623047,9.85010039806366,3.6100999116897583,2.728484152521192,1.1309000551700592,0.2581824604771816,0.09462487082382873,0.16355758965335285,0.22885545291465453,1.270387589931488,0.28842151831134594,0.7398801523108699,0.3679999966254185,,3.9333763726055624,,,529.9000244140625,,,,,,,396.2964253902435,6.1921316467225544,381.7128150463104,5.9642627350986,6.1,5.23,4.68,4.26,3.9,3.57,3.25,2.91,2.49,4.89,4.6,4.41,4.25,4.11,3.97,3.83,3.67,3.45,"Tyler Kinley","18297",641755
"Nate Pearson","CHC",2.6291000843048096,2.460400104522705,0,3.878099881685697,52,0,0,4.3358001708984375,,52,219.8730010986328,45.405975341796875,24.052310943603516,22.40679931640625,6.691244602203369,20.0130672454834,1.3051661252975464,2.1721253395080566,56.68693161010742,9.811199701749361,3.463800100179819,2.8324959345200162,1.1581000273044293,0.2578167002172233,0.09102103098372563,0.16679566923349767,0.2296852582017654,1.2580585112938514,0.2882498453479123,0.7380155596258818,0.3750000151808551,,3.9389392852783205,,,709.030029296875,,,,,,,248.6036416530609,4.780839262558863,237.17530632019043,4.5610635830805855,6.3,5.33,4.73,4.26,3.87,3.52,3.18,2.82,2.38,4.91,4.62,4.43,4.27,4.12,3.99,3.84,3.68,3.47,"Nate Pearson","20160",663878
"Shawn Armstrong","TEX",2.938199996948242,2.738600015640259,0,3.911199997211325,58,0,0,11.265800476074219,,58,244.41600036621094,54.223690032958984,27.12982177734375,25.20551109313965,7.3750224113464355,17.96388816833496,1.3056702613830566,2.566612482070923,56.1768684387207,8.717100274973902,2.787499888189908,3.127210986413507,1.1444000293468606,0.22984120660902044,0.0734971857055982,0.15634402090342225,0.24219384507611816,1.2446134172636887,0.29219493001522373,0.7283527551995892,0.3959999991884154,,3.9442910958980693,,,999,,,,,,,293.33106708526617,5.057432191125279,289.95014548301697,4.999140439362361,6.25,5.34,4.76,4.32,3.95,3.61,3.27,2.92,2.49,4.92,4.65,4.47,4.31,4.18,4.04,3.9,3.75,3.54,"Shawn Armstrong","12857",542888
"Calvin Faucher","MIA",2.993000030517578,3.1714000701904297,0,3.8897999354771207,63,0,22.003000259399414,5.57390022277832,,63,269.6919860839844,57.37967300415039,29.537200927734375,27.228599548339844,6.869100093841553,26.548200607299805,1.5871374607086182,2.675075054168701,63.7588005065918,9.108400072370257,3.792600086757115,2.401624179721635,0.9813000134059361,0.23641340416669543,0.09843896733005804,0.1379744368366374,0.23861596339636604,1.3321884700230189,0.2973995058267881,0.7319316788284725,0.44500000205097334,,3.9514087813241145,,,303.6700134277344,,,,,,,404.6812952518464,6.4235126230451804,397.86007499694824,6.315239285665845,6.21,5.32,4.77,4.34,3.97,3.64,3.31,2.96,2.54,4.97,4.69,4.49,4.33,4.18,4.04,3.89,3.73,3.52,"Calvin Faucher","20116",676534
"Joel Payamps","MIL",3.057800054550171,2.912400007247925,0,3.8317000279661086,61,0,1.968999981880188,13.362000465393066,,61,257.4930114746094,57.23039627075195,28.12371063232422,25.97041130065918,7.372866630554199,19.765356063842773,1.73550283908844,2.6009368896484375,57.52232360839844,8.486900204517802,2.916200074993196,2.910259922593824,1.087799994671931,0.22339372738304605,0.07676074760495695,0.1466329797780891,0.24340235184973988,1.2622254481081103,0.2928807027894205,0.733002864355442,0.4269999972148249,,3.951750234697686,,,498.80999755859375,,,,,,,323.1534802675248,5.297598037172538,320.39150393009186,5.252319736558883,6.13,5.25,4.69,4.26,3.9,3.56,3.24,2.89,2.48,4.86,4.59,4.41,4.25,4.11,3.98,3.84,3.69,3.48,"Joel Payamps","14332",606303
"Jake Cousins","NYY",2.805000066757202,2.480799913406372,0,3.7706000010172525,54,0,0,7.136199951171875,,54,232.75900268554688,45.77671432495117,24.553199768066406,22.623600006103516,5.698200225830078,26.577600479125977,1.4188988208770752,3.4492557048797607,60.870601654052734,10.145100275675455,4.429600079854329,2.2902971132349004,0.9497000376383463,0.2615177112452565,0.11418505910609965,0.14733265213915686,0.22579899199460796,1.3398947185940213,0.29434143388944156,0.7425204332621244,0.4350000000819452,,3.951960670506513,,,999,,,,,,,270.6981145381927,5.012928047003569,256.12883162498474,4.7431265115737915,6.18,5.24,4.65,4.19,3.81,3.46,3.13,2.77,2.35,4.85,4.56,4.36,4.2,4.05,3.91,3.76,3.6,3.39,"Jake Cousins","21620",664776
"Hoby Milner","TEX",2.7674999237060547,2.517899990081787,0,3.765500068664551,54,0,0,9.271400451660156,,54,228.81399536132812,53.043663024902344,24.64859962463379,22.593000411987305,6.105599880218506,16.48259925842285,1.143383502960205,2.4956743717193604,46.927799224853516,7.821299870808919,2.7470998764038086,2.8471115804670624,1.0175999800364177,0.20509147244576625,0.07203492615211149,0.13305654629365476,0.25278662082548053,1.2875233756171331,0.2993454583999049,0.7359597191078409,0.46799999179756924,,3.952628313170539,,,999,,,,,,,260.5939769744873,4.825814388416432,264.63358092308044,4.900621868945934,6.19,5.25,4.66,4.21,3.83,3.48,3.15,2.79,2.37,4.82,4.55,4.36,4.21,4.07,3.94,3.8,3.64,3.44,"Hoby Milner","13346",571948
"Daniel Lynch IV","KCR",2.5411999225616455,2.35260009765625,0,3.824699935913086,50,0,0,4.2957000732421875,,50,209.3800048828125,49.04098129272461,23.00111198425293,21.248332977294922,6.415555477142334,12.35777759552002,1.6825777292251587,1.9422088861465454,43.49611282348633,7.829300308227539,2.2243999671936034,3.5197358495312843,1.1547999858856202,0.20773766266664567,0.05902081052312765,0.148716852143518,0.2513890540643733,1.2279751777648926,0.29362754199567354,0.7325421268091097,0.42300000450009656,,3.9526788783073425,,,665.5700073242188,,,,,,,224.857182765007,4.49714365530014,227.87284529209137,4.5574569058418275,6.27,5.3,4.7,4.24,3.85,3.5,3.16,2.8,2.37,4.76,4.53,4.37,4.23,4.11,4,3.88,3.74,3.56,"Daniel Lynch IV","21537",663738
"Bryan King","HOU",3.2137999534606934,2.8548998832702637,0,3.725799991238502,62,0,0,13.13860034942627,,62,264.843994140625,56.573326110839844,27.96131134033203,25.666622161865234,6.669133186340332,25.027334213256836,1.4727975130081177,3.0856974124908447,61.009376525878906,8.856199818272744,3.633000127730831,2.437709745913034,0.9680999786623062,0.23035967541512223,0.09449840195344585,0.13586127346167637,0.23897729941973475,1.3161396826467207,0.29519946086055754,0.7422705996262013,0.45099999258216494,,3.9571099919657557,,,999,,,,,,,319.9130734920501,5.15988828212984,313.53532814979553,5.057021421770895,6.05,5.16,4.6,4.17,3.8,3.47,3.14,2.8,2.39,4.86,4.55,4.34,4.17,4.01,3.86,3.71,3.54,3.31,"Bryan King","25890",687911
"Joe Ross","PHI",2.7827000617980957,2.5028998851776123,0,3.8091999689737954,54,0,0,6.425000190734863,,54,228.3300018310547,51.244102478027344,24.73740005493164,22.855199813842773,6.631800174713135,17.184600830078125,3.948054075241089,2.3385558128356934,51.02519989013672,8.504199981689453,2.864100138346354,2.969239751023344,1.1053000291188557,0.22347128927845034,0.07526212364677905,0.1482091656316713,0.24541390121504378,1.2671982094093606,0.295152815187634,0.7387252810011686,0.41999999365136,,3.9578218601368094,,,743.3400268554688,,,,,,,253.97512202262882,4.703243000419052,252.96752834320068,4.68458385820742,6.21,5.27,4.68,4.23,3.84,3.5,3.16,2.81,2.38,4.85,4.57,4.38,4.23,4.09,3.95,3.81,3.65,3.45,"Joe Ross","12972",605452
"Shane Smith","CHW",2.4084999561309814,2.5815000534057617,0,3.8523000829360066,51,0,0.9800000190734863,3.933300018310547,,51,216.56100463867188,47.55030059814453,23.677600860595703,21.829700469970703,5.89276647567749,17.933866500854492,1.2508562803268433,2.6455092430114746,48.98153305053711,8.643799950094785,3.164799970739028,2.7312310509394777,1.0398999662960278,0.2261789149540653,0.08281207658219367,0.14336683837187164,0.2426263158761038,1.2840032764509612,0.29521878352365355,0.7304460890923488,0.44300000813807733,,3.9582645883747176,,,663.260009765625,,,,,,,238.14632983207704,4.6695358790603345,235.25217485427856,4.612787742240756,6.34,5.36,4.75,4.28,3.88,3.52,3.18,2.81,2.38,4.96,4.66,4.46,4.29,4.14,3.99,3.84,3.67,3.45,"Shane Smith","sa3020469",681343
"Greg Weissert","BOS",3.0576999187469482,2.8148999214172363,0,3.9,60,0,0,11.98490047454834,,60,254.99400329589844,55.813087463378906,28.106666564941406,26,7.200666904449463,21.793333053588867,1.6044222116470337,2.5007262229919434,58.95466613769531,8.843199920654296,3.26899995803833,2.7051697871421654,1.0801000356674195,0.23120020618400008,0.08546606105203028,0.1457341451319698,0.2419293498341959,1.293440341949463,0.29543611468183184,0.7330528998842011,0.42300001225219835,,3.9761717001597088,,,999,,,,,,,303.284526014328,5.0547421002387996,299.35808658599854,4.989301443099976,6.24,5.34,4.77,4.33,3.96,3.62,3.29,2.94,2.51,4.96,4.67,4.48,4.32,4.18,4.04,3.9,3.74,3.52,"Greg Weissert","20375",669711
"Ryne Stanek","NYM",3.006999969482422,2.670300006866455,0,3.8583999173394563,58,0,0,11.962499618530273,,58,246.28500366210938,49.49343490600586,26.616199493408203,24.865243911743164,7.465888977050781,24.176332473754883,1.5156378746032715,2.397091865539551,64.87042236328125,10.06610002188847,3.751499866617137,2.683220146550461,1.1585000136802936,0.2633957463860861,0.09816404618335428,0.1652317002027318,0.2252654824044881,1.2701684030993232,0.2851736692614563,0.7443121114752527,0.340999994176153,,3.977445036789467,,,750.2100219726562,,,,,,,306.55720500946046,5.285469051887249,290.81401348114014,5.0140347151920714,6.15,5.25,4.68,4.24,3.87,3.53,3.2,2.85,2.43,4.84,4.57,4.38,4.23,4.1,3.96,3.83,3.67,3.47,"Ryne Stanek","15947",592773
