Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tanner Bibee","CLE",10.381099700927734,10.137700080871582,15.676300048828125,3.9055999741719383,29.15999984741211,29.15999984741211,0,0,,173.45399475097656,726.9660034179688,158.95838928222656,80.74476623535156,75.27132415771484,24.46086883544922,51.08220291137695,0.3453088402748108,7.676761150360107,173.01458740234375,8.977200489712716,2.650500075610419,3.386983676144675,1.2692000540841017,0.23799543113279412,0.07026766406022328,0.16772776707257084,0.23788792981793677,1.2109296905796456,0.28572019654125697,0.7354904834795937,0.35799998753212553,,4.021109920732963,,,90.63999938964844,,,,,,,739.1513449668885,4.261368243654861,719.0309615135193,4.145369857556832,5.45,4.94,4.6,4.32,4.08,3.86,3.63,3.38,3.06,4.78,4.56,4.41,4.28,4.17,4.05,3.94,3.81,3.63,"Tanner Bibee","30134",676440
"Brady Singer","CIN",10.293299674987793,10.045299530029297,14.815899848937988,4.017100084667453,29.15999984741211,29.15999984741211,0,0,,170.36219787597656,724.6370239257812,169.10853576660156,82.6919174194336,76.04022216796875,20.680078506469727,52.322017669677734,0.3681156039237976,8.813035011291504,153.0420379638672,8.08499983474934,2.764100046243315,2.925002604640759,1.0925000315722808,0.21119820394319522,0.0722044498723221,0.1389937540708731,0.2548726953279927,1.2997634228544082,0.303051372597751,0.7208009035942993,0.47700000322174374,,4.024428927347414,,,336.9700012207031,,,,,,,689.3120235443114,4.046155967335721,705.648886680603,4.142050850942381,5.65,5.13,4.78,4.51,4.26,4.03,3.8,3.55,3.22,4.94,4.73,4.58,4.46,4.35,4.24,4.13,4,3.83,"Brady Singer","25377",663903
"Mitch Keller","PIT",10.329500198364258,11.300000190734863,15.677200317382812,4.111899919521397,30.780000686645508,30.780000686645508,0,0,,182.03550720214844,771.3369750976562,175.2477569580078,89.73945617675781,83.16797637939453,23.470443725585938,54.5661506652832,0.5746460556983948,10.676074981689453,171.03651428222656,8.4561998491351,2.697799805848827,3.1344801162792244,1.1603999504102263,0.22174032855169717,0.07074229866703172,0.15099802988466546,0.2481929756514183,1.2624674776667895,0.2966789195738085,0.7111992473090585,0.4299999960435479,,4.038669051961389,,,297.92999267578125,,,,,,,749.0784790039063,4.115013002227433,751.4081192016602,4.1278107263284065,5.69,5.18,4.85,4.58,4.34,4.11,3.88,3.63,3.31,5,4.79,4.65,4.53,4.42,4.31,4.2,4.07,3.9,"Mitch Keller","17594",656605
"Seth Lugo","KCR",11.113499641418457,10.970600128173828,17.24650001525879,4.047299974170717,30.780000686645508,30.780000686645508,0,0,,190.34140014648438,805.1669921875,188.03871154785156,92.57571411132812,85.59652709960938,24.748611450195312,54.62163543701172,0.6650679707527161,7.703032493591309,169.90084838867188,8.033499986452052,2.582699920010992,3.110504601873322,1.1701999821391553,0.21101318116268097,0.0678388905245782,0.14317429063810277,0.2531340843239597,1.274868981725021,0.29786980221095655,0.7215180996506567,0.43299998878095697,,4.053855072035757,,,185.02000427246094,,,,,,,768.0454832077028,4.0350942181607605,782.8027448654175,4.112624706254038,5.61,5.11,4.78,4.52,4.28,4.06,3.83,3.58,3.27,4.97,4.75,4.6,4.47,4.35,4.24,4.13,3.99,3.82,"Seth Lugo","12447",607625
"David Festa","MIN",4.866099834442139,4.962100028991699,6.4390997886657715,4.017399899694577,14.579999923706055,14.579999923706055,0,0,,79.22579956054688,336.70098876953125,73.5354995727539,38.260780334472656,35.3646354675293,9.904105186462402,29.1489315032959,0.2080812156200409,3.2511849403381348,77.78388977050781,8.836199972959138,3.311299917259582,2.668498835427731,1.1250999948576137,0.23101770521900716,0.08657215890520617,0.144445546313801,0.24165392300946006,1.2960983877174392,0.2937562861413677,0.7253389486806974,0.4329999990483112,,4.054901701505686,,,317.1000061035156,,,,,,,331.62555427551274,4.185827799971573,325.74306058883667,4.1115780767841095,6.15,5.37,4.87,4.48,4.15,3.83,3.53,3.2,2.79,5.04,4.78,4.6,4.45,4.31,4.19,4.05,3.9,3.7,"David Festa","30056",701581
"Lance McCullers Jr.","HOU",4.564899921417236,4.374199867248535,6.309299945831299,4.0182002381223025,12.960000038146973,12.960000038146973,0,0,,74.03119659423828,317.4580078125,71.71058654785156,36.021114349365234,33.05246353149414,8.372928619384766,27.906471252441406,0.1492052674293518,3.48918080329895,68.04207611083984,8.271900403744372,3.392600050064838,2.438218558531909,1.0179000345960603,0.2143340991134408,0.08790602399585329,0.12642807511758752,0.250681661199866,1.3456091807659096,0.3021152312124858,0.7235448436530633,0.4870000147801524,,4.070840089585291,,,620.4500122070312,,,,,,,300.2935038089752,4.056310280311564,303.20510697364807,4.095639688704505,6.25,5.44,4.92,4.51,4.17,3.84,3.53,3.19,2.78,5.09,4.82,4.64,4.48,4.35,4.21,4.07,3.92,3.71,"Lance McCullers Jr.","14120",621121
"Germán Márquez","COL",9.398699760437012,10.051899909973145,14.458100318908691,4.064999655255117,27.540000915527344,27.540000915527344,0,0,,164.65130615234375,698.8599853515625,163.25369262695312,80.64803314208984,74.36750030517578,20.958280563354492,51.58891296386719,1.169891595840454,5.430142402648926,146.95127868652344,8.032499341092441,2.8198999906214564,2.8485050419544202,1.1455999316255983,0.21027284687446998,0.07381866760895649,0.1364541792655135,0.2543522623755961,1.3048338978376341,0.30024476295559027,0.7234169259866915,0.45499999912664685,,4.075140994203145,,,632.280029296875,,,,,,,659.0186050415039,4.002510641681435,673.6442747116089,4.09133878408665,5.77,5.21,4.84,4.55,4.29,4.05,3.8,3.54,3.19,5.1,4.84,4.66,4.51,4.38,4.25,4.11,3.96,3.75,"German Marquez","15038",608566
"Edward Cabrera","MIA",6.968800067901611,8.137200355529785,9.413100242614746,4.02539998622716,22.68000030517578,22.68000030517578,0,0,,119.652099609375,515.0759887695312,105.63693237304688,58.0086669921875,53.516395568847656,13.999295234680176,56.030418395996094,0.24260079860687256,5.993939399719238,129.2388916015625,9.721099990818107,4.2144999311358005,2.306584446472701,1.0529999684372418,0.2509122817204161,0.10878087819594845,0.14213140352446763,0.2331675357750829,1.3511451223742337,0.2957832814307272,0.7296395920750167,0.44999999333452234,,4.08235278505379,,,410.1700134277344,,,,,,,510.982891368866,4.270571874936237,488.6743698120117,4.084126993236005,5.87,5.24,4.83,4.51,4.22,3.95,3.69,3.4,3.03,5.01,4.77,4.6,4.46,4.34,4.21,4.09,3.94,3.75,"Edward Cabrera","21690",665795
"Clarke Schmidt","NYY",9.080699920654297,8.370699882507324,11.556300163269043,3.981299920653333,25.920000076293945,25.920000076293945,0,0,,140.88290405273438,599.2470092773438,133.26654052734375,67.43751525878906,62.3218994140625,17.787248611450195,47.47283935546875,0.4026939868927002,7.883094310760498,134.08609008789062,8.565800221858739,3.032699794712432,2.8244801007977682,1.1362999547704502,0.22375762917797534,0.07922081982973628,0.14453680934823906,0.245024319212456,1.2829049848032612,0.29457670161971006,0.7270526003051817,0.4280000091158512,,4.083055523515944,,,233.91000366210938,,,,,,,579.3617058753966,4.112363453684442,575.2846674919128,4.083424254773851,5.71,5.13,4.75,4.45,4.18,3.93,3.68,3.41,3.06,4.95,4.71,4.54,4.41,4.28,4.16,4.03,3.89,3.7,"Clarke Schmidt","19899",657376
"Yu Darvish","SDP",9.979100227355957,10.22439956665039,13.900400161743164,4.173700076111645,29.15999984741211,29.15999984741211,0,0,,167.8209991455078,705.427001953125,161.6486053466797,83.38092803955078,77.82605743408203,24.343368530273438,44.07911682128906,0.5382407903671265,8.130751609802246,158.8780059814453,8.520400075757045,2.363899949419534,3.604382697266552,1.3055000142294497,0.22522246177358918,0.06248572382294218,0.162736737950647,0.24746534812260418,1.2258759226525295,0.2921414378409164,0.7127814042245777,0.38399999653910866,,4.0920932892024195,,,231.74000549316406,,,,,,,683.2919935226439,4.071552410018732,683.7676115036011,4.0743864890873756,5.79,5.26,4.9,4.61,4.36,4.13,3.89,3.62,3.29,5.09,4.86,4.7,4.57,4.45,4.33,4.21,4.07,3.88,"Yu Darvish","13074",506433
"Kyle Wright","KCR",3.838599920272827,3.919600009918213,5.229000091552734,4.095099871633345,11.34000015258789,11.34000015258789,0,0,,63.57400131225586,271.5679931640625,63.609371185302734,31.492441177368164,28.926876068115234,7.503850936889648,20.383943557739258,0.21209460496902466,3.40437650680542,54.98020935058594,7.783400036830483,2.885699943890217,2.6972312396200375,1.0622999502626467,0.2024546733582507,0.07506018408224086,0.12739448927600985,0.2567174715730405,1.3211896846085363,0.30278925332854306,0.7144149829554677,0.4919999910099632,,4.093818036935193,,,696.030029296875,,,,,,,251.3613366127014,3.953838541294454,258.9154028892517,4.072661741354602,6.48,5.59,5.03,4.59,4.21,3.87,3.53,3.18,2.74,5.22,4.93,4.73,4.57,4.42,4.28,4.13,3.97,3.75,"Kyle Wright","19665",657140
"Jesús Luzardo","PHI",9.264900207519531,8.498100280761719,12.4931001663208,3.959200231943837,25.920000076293945,25.920000076293945,0,0,,146.25669860839844,618.9450073242188,134.6514892578125,69.2834243774414,64.33995056152344,20.186674118041992,51.072837829589844,0.63379967212677,5.527797698974609,148.28317260742188,9.124700380664573,3.142799918498324,2.9033666212593285,1.2421999729997009,0.2395740669247332,0.08251595412391237,0.15705811280082083,0.2394466736242937,1.2698517664799633,0.29061238504666503,0.7394811164713034,0.39099999063189816,,4.094042934002961,,,246.0500030517578,,,,,,,610.6740446090699,4.1753577813495335,595.6211681365967,4.072436844286834,5.64,5.07,4.7,4.4,4.14,3.9,3.65,3.38,3.04,4.9,4.66,4.5,4.36,4.24,4.12,3.99,3.85,3.66,"Jesus Luzardo","19959",666200
"Bailey Ober","MIN",10.228699684143066,10.153900146484375,14.950900077819824,4.009399925472539,29.15999984741211,29.15999984741211,0,0,,171.0402069091797,713.8569946289062,159.06875610351562,81.31250762939453,76.1965103149414,26.659465789794922,44.65669631958008,0.2912536561489105,6.8416056632995605,170.69241333007812,8.981699377775097,2.3497999338227546,3.8223251471299884,1.4027999406920562,0.23911289602031766,0.06255692198238466,0.176555974037933,0.24015500644833254,1.1910968543862408,0.28474698964012823,0.7356449888295954,0.334000002394015,,4.100079763003369,,,80.86000061035156,,,,,,,711.097256755829,4.157485947929268,695.5178999900818,4.066400015286426,5.56,5.04,4.69,4.42,4.17,3.94,3.71,3.46,3.13,4.87,4.65,4.5,4.37,4.25,4.14,4.02,3.89,3.71,"Bailey Ober","21224",641927
"Eduardo Rodriguez","ARI",8.670999526977539,7.931099891662598,11.452400207519531,4.004099866052546,24.299999237060547,24.299999237060547,0,0,,136.2552032470703,577.1079711914062,131.696044921875,65.48727416992188,60.619937896728516,18.00990867614746,43.56230163574219,0.36530935764312744,4.233087062835693,124.9460220336914,8.253000043338906,2.877399947881327,2.8682144272004018,1.1895999141508917,0.21650371901075552,0.07548379819777973,0.1410199208129758,0.24880580828372684,1.2862506706611625,0.29425178968986215,0.7315902356190995,0.4130000064381625,,4.103126099141487,,,395.9800109863281,,,,,,,550.8627884864809,4.042875247028962,553.6530814170837,4.0633536791483085,5.76,5.16,4.78,4.47,4.2,3.94,3.69,3.41,3.06,4.97,4.73,4.56,4.42,4.3,4.17,4.05,3.9,3.71,"Eduardo Rodriguez","13164",593958
"Bryan Woo","SEA",8.233099937438965,9.422599792480469,11.619000434875488,4.110500142239889,25.920000076293945,25.920000076293945,0,0,,143.53399658203125,602.5780029296875,140.20785522460938,70.42096710205078,65.55516815185547,20.609888076782227,35.2056999206543,0.47724178433418274,6.867581367492676,129.78184509277344,8.13770001288451,2.207500012756941,3.6863873005016923,1.2923000620625167,0.21537766805589348,0.058425132927997565,0.15695253512789592,0.2501457165498714,1.2221045837388977,0.2916219932302802,0.7163809666836164,0.3930000016206408,,4.104130104219,,,134.1699981689453,,,,,,,577.4533740997315,4.023112209306529,583.0852842330933,4.062349674070795,5.84,5.25,4.87,4.56,4.29,4.04,3.78,3.5,3.15,5.09,4.84,4.66,4.52,4.39,4.26,4.13,3.98,3.78,"Bryan Woo","30279",693433
