Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Danny Mendick","CHW",3.73,14.7879,13.4479,3.1323,2.156,0.6182,0.0218,0.3363,1.4517,1.4387,1.0248,0,3.2288,0.1627,0.1063,0.0463,,0.3081,0.092,0.232921,0.0692999,0.218341,0.317393,0.293033,0.357156,0.286521,0.650189,0.124235,4.05206,0.279905,-0.01,-0.0020289,1.44828,-0.281582,84.8242,-0.0120289,-0.005,-0.2688103634864092,0.05699999909847975,0.0290368,999,,,,,,,9.7,2.425,9.7,2.425,0.152,0.183,0.209,0.235,0.262,0.291,0.327,0.374,0.452,0.262,0.27,0.276,0.281,0.286,0.291,0.296,0.303,0.312,"Danny Mendick","18889",664901
"Marco Luciano","SFG",22.06,88.9504,78.3832,17.0849,11.4723,3.3677,0.3428,1.902,8.9242,8.1797,9.0463,0.089,26.6111,0.6227,0.6255,0.2728,,0.8646,0.2553,0.217966,0.1017,0.299168,0.339945,0.301698,0.342473,0.286768,0.644171,0.124506,4.05497,0.300678,0.027,-0.0966318,8.72922,-1.67603,84.6484,-0.0696318,0.102,-1.702545590698719,-1.0010000467300415,0.0267068,716.6599731445312,,,,,,,76.6,3.481818181,76.6,3.481818181,0.221,0.24,0.255,0.268,0.282,0.295,0.311,0.33,0.359,0.261,0.269,0.275,0.281,0.286,0.291,0.297,0.304,0.314,"Marco Luciano","25616",682617
"Donovan Walton","NYM",3.85,15.3477,13.7816,3.1936,2.1972,0.6643,0.0759,0.2561,1.5875,1.4558,1.2401,0.0767,2.7853,0.1688,0.1106,0.0466,,0.1326,0.0398,0.231729,0.0808001,0.181479,0.44523,0.300795,0.346687,0.285036,0.647482,0.114958,4.14487,0.270717,-0.013,-0.0174548,1.48477,-0.310584,85.0292,-0.0304548,-0.041,-0.30521400459110737,0.023000001907348633,0.0236383,999,,,,,,,8.7,2.175,8.7,2.175,0.145,0.177,0.204,0.23,0.258,0.289,0.326,0.376,0.458,0.26,0.268,0.274,0.279,0.284,0.289,0.295,0.302,0.311,"Donovan Walton","19314",622268
"Tony Kemp",,2.68,11.2888,10.0115,2.3859,1.7242,0.4424,0.0448,0.1745,1.2276,0.9795,1.016,0,1.4917,0.1468,0.0762,0.0384,,0.2474,0.0607,0.238316,0.0900004,0.132139,0.681102,0.315426,0.343745,0.294207,0.659171,0.105429,4.81625,0.26259,0,0.00211069,1.17543,-0.145119,89.0688,0.00211069,-0.05,-0.1422687633894384,-0.004999998956918716,0.0236357,999,,,,,,,4.2,1.4,4.2,1.4,0.149,0.181,0.209,0.237,0.266,0.298,0.337,0.389,0.474,0.272,0.279,0.284,0.289,0.294,0.298,0.303,0.309,0.317,"Tony Kemp","14894",643393
"Darren Baker","WSN",13.43,55.0714,50.6667,12.7391,9.9946,2.2796,0.184,0.2809,5.0925,4.3412,3.5962,0.0551,11.2632,0.2754,0.3851,0.1481,,1.7666,0.4612,0.251429,0.0653007,0.20452,0.319288,0.302434,0.320317,0.276642,0.622751,0.0688874,5.00117,0.315336,-0.017,0.057528,4.95563,-1.48652,76.2294,0.040528,-0.089,-1.524876520037651,-0.08900000154972076,0.0227268,999,,,,,,,43.4,3.338461538,43.4,3.338461538,0.203,0.224,0.24,0.255,0.27,0.286,0.303,0.325,0.359,0.252,0.26,0.266,0.271,0.276,0.281,0.286,0.293,0.302,"Darren Baker","29912",671117
"Alejo Lopez","ATH",2.01,8.13031,7.1959,1.8067,1.3677,0.345,0.023,0.071,0.8183,0.6673,0.739,0.0081,1.4025,0.1138,0.0574,0.0242,,0.1719,0.0485,0.251074,0.0908944,0.172503,0.526916,0.328086,0.33501,0.297164,0.663096,0.0839367,4.53864,0.300305,-0.006,-0.00272401,0.8659,-0.085168,96.7921,-0.008724,-0.048,-0.038566785864531994,-0.013999998569488525,0.0225622,999,,,,,,,7.2,3.6,7.2,3.6,0.138,0.172,0.201,0.231,0.262,0.297,0.341,0.4,0.499,0.275,0.282,0.287,0.292,0.297,0.301,0.306,0.312,0.32,"Alejo Lopez","21127",664670
"Rodolfo Castro","PHI",3.08,12.5207,11.3218,2.4807,1.5706,0.4308,0.0481,0.4311,1.3455,1.4121,0.9303,0.0125,3.4328,0.1502,0.0869,0.0315,,0.1801,0.0633,0.219108,0.074301,0.27417,0.271003,0.285142,0.379878,0.290618,0.66502,0.160769,4.52281,0.271657,-0.011,-0.0104419,1.26752,-0.197128,84.6826,-0.0214419,-0.006,-0.2507786937057972,0.04499999899417162,0.0218094,999,,,,,,,3.2,1.066666666,3.2,1.066666666,0.141,0.174,0.202,0.23,0.259,0.293,0.333,0.387,0.478,0.264,0.272,0.279,0.284,0.29,0.295,0.301,0.308,0.319,"Rodolfo Castro","21987",666801
"José Rodríguez","PHI",2.87,11.6346,10.8662,2.6152,1.7772,0.5067,0.0372,0.2941,1.2479,1.2474,0.5724,0,2.1135,0.0814,0.0813,0.0332,,0.3914,0.1162,0.240673,0.0491981,0.181657,0.27083,0.281779,0.375347,0.28597,0.657126,0.134674,5.33928,0.271795,-0.001,0.0120318,1.13429,-0.226701,81.5543,0.0110318,0,-0.24559828359633684,0.04800000041723251,0.0196068,999,,,,,,,11.7,3.9,11.7,3.9,0.136,0.169,0.197,0.225,0.254,0.287,0.328,0.383,0.474,0.258,0.267,0.274,0.28,0.285,0.291,0.297,0.304,0.315,"Jose Rodriguez","24388",679563
"Alan Trejo","TEX",4.21,16.7149,15.3679,3.4471,2.2841,0.747,0.0571,0.3589,1.6465,1.6376,1.0096,0,4.2646,0.1671,0.1201,0.0501,,0.2223,0.0741,0.224305,0.0604012,0.255138,0.23674,0.277461,0.350406,0.275641,0.627866,0.126101,4.27246,0.284247,-0.01,-0.0128651,1.49062,-0.464652,77.6992,-0.0228651,-0.046,-0.4493747800588608,0.024000000208616257,0.0136146,999,,,,,,,7.7,1.925,7.7,1.925,0.146,0.176,0.201,0.226,0.252,0.28,0.315,0.36,0.434,0.251,0.259,0.265,0.27,0.275,0.28,0.285,0.292,0.301,"Alan Trejo","20056",676701
"Coco Montes","TBR",1.06,4.2745,3.847,0.8955,0.5863,0.1831,0.0268,0.0993,0.447,0.4394,0.3462,0,1.196,0.0385,0.0303,0.0125,,0.0547,0.017,0.232779,0.080992,0.279799,0.289465,0.300375,0.371744,0.295419,0.67212,0.138965,4.89634,0.308366,-0.002,-0.00360865,0.449243,-0.0507795,95.6447,-0.00560865,-0.015,-0.02691006474196911,0.0029999995604157448,0.0122469,999,,,,,,,1.6,1.6,1.6,1.6,0.092,0.126,0.158,0.192,0.229,0.275,0.333,0.417,0.571,0.272,0.28,0.285,0.29,0.295,0.299,0.305,0.311,0.319,"Coco Montes","21547",663796
