Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Luis Liberato",,0.43,1.72524,1.5563,0.3293,0.2134,0.074,0.0053,0.0366,0.1708,0.1612,0.1397,0,0.5105,0.0121,0.0121,0.005,,0.0268,0.0079,0.211592,0.0809744,0.295902,0.273653,0.279677,0.336503,0.272884,0.61618,0.124912,4.41502,0.286595,-0.001,-0.000721863,0.150027,-0.0517876,74.4,-0.00172186,0,-0.05339646770153195,-0.05000000074505806,-0.00474195,999,,,,,,,-2,,-2,,0.045,0.07,0.096,0.127,0.164,0.211,0.278,0.383,0.598,0.247,0.255,0.262,0.267,0.272,0.277,0.283,0.29,0.3,"Luis Liberato","17307",642451
"Kole Calhoun",,1.18,4.98009,4.5345,0.9971,0.6482,0.1899,0.0216,0.1375,0.5075,0.5394,0.3436,0,1.3377,0.0598,0.0345,0.0078,,0.0331,0.0108,0.219892,0.0689948,0.26861,0.256859,0.281655,0.362289,0.282713,0.643944,0.142397,3.89147,0.277846,-0.007,-0.00605374,0.472468,-0.110093,81.1616,-0.0130537,-0.008,-0.12282035779207945,-0.10599999781697989,-0.00649539,999,,,,,,,0.6,0.6,0.6,0.6,0.091,0.123,0.154,0.186,0.222,0.264,0.32,0.399,0.542,0.254,0.263,0.27,0.276,0.282,0.288,0.294,0.301,0.312,"Kole Calhoun","11200",594777
"Kevin Smith",,0.48,1.92451,1.7781,0.374,0.241,0.0805,0.0041,0.0484,0.1856,0.1905,0.1116,0,0.6259,0.0154,0.0136,0.0057,,0.04,0.0102,0.210337,0.0579888,0.325225,0.178303,0.261114,0.341882,0.264342,0.602996,0.131545,4.59897,0.291391,-0.001,0.000964523,0.154126,-0.0709999,68.5242,-0.000035477,0,-0.07090934100051527,-0.05700000002980232,-0.00658788,999,,,,,,,-2,,-2,,0.044,0.068,0.094,0.123,0.159,0.205,0.27,0.372,0.579,0.24,0.248,0.254,0.259,0.264,0.269,0.274,0.281,0.29,"Kevin Smith","20242",675656
"Chandler Seagle","ATL",0.25,1,0.9333,0.1693,0.1157,0.0367,0.0024,0.0145,0.0822,0.0795,0.0479,0,0.3471,0.009,0.007,0.0028,,0.0104,0.0031,0.181399,0.0479,0.3471,0.138001,0.226835,0.272474,0.221699,0.499309,0.0910747,4.29798,0.267496,0,-0.000537752,0.045764,-0.071214,37.6923,-0.000537752,0,-0.07504572602920234,-0.028999999165534973,-0.00730635,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Chandler Seagle","23552",676882
"Elier Hernandez",,2.04,8.26067,7.6085,1.7401,1.1566,0.3578,0.0402,0.1855,0.8343,0.826,0.4956,0,2.1532,0.0743,0.058,0.0241,,0.1207,0.0379,0.228705,0.0599951,0.260657,0.230169,0.280462,0.35944,0.280194,0.639902,0.130735,4.63624,0.29179,-0.006,-0.00483601,0.766955,-0.199363,79.4288,-0.010836,-0.041,-0.20965756941586733,-0.14299999922513962,-0.00799642,999,,,,,,,3.2,1.6,3.2,1.6,0.116,0.149,0.178,0.207,0.239,0.276,0.321,0.384,0.492,0.255,0.263,0.269,0.275,0.28,0.285,0.29,0.297,0.306,"Elier Hernandez","13750",609274
"Conner Capel","ATL",1.23,4.98528,4.394,0.9486,0.6326,0.1811,0.0215,0.1134,0.5357,0.4883,0.503,0,1.3169,0.0399,0.0353,0.0131,,0.138,0.0453,0.215885,0.100897,0.264158,0.381958,0.299968,0.34431,0.286981,0.644278,0.128425,5.15595,0.278493,-0.002,-0.0000243331,0.490088,-0.0930805,81.6316,-0.00202433,0,-0.11152602289803326,-0.14300000667572021,-0.00914125,999,,,,,,,4.6,4.6,4.6,4.6,0.097,0.13,0.161,0.193,0.229,0.272,0.326,0.403,0.542,0.263,0.271,0.277,0.282,0.286,0.291,0.296,0.303,0.311,"Conner Capel","19983",668843
"Yosmar Gimenez","PIT",0.25,1,0.9156,0.1318,0.1051,0.0159,0.0013,0.0095,0.0659,0.0591,0.0635,0,0.3214,0.011,0.007,0.0029,,0.0108,0.003,0.143949,0.0635,0.3214,0.197573,0.2069,0.195282,0.186374,0.402182,0.0513325,3.64606,0.206693,0,-0.000472498,0.0173323,-0.0996457,12.5223,-0.000472498,0,-0.1050789627188351,-0.020999999716877937,-0.0095819,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Yosmar Gimenez","sa3021130",807981
"Matt Carpenter",,1.38,5.59476,4.8694,0.9956,0.6136,0.2223,0.0115,0.1483,0.5755,0.5472,0.6042,0,1.7481,0.0671,0.0392,0.0148,,0.0452,0.0136,0.204461,0.107994,0.312453,0.345632,0.298733,0.346223,0.287966,0.644956,0.141763,3.44809,0.281289,-0.017,-0.00660906,0.554438,-0.100027,84.7752,-0.0236091,0,-0.12326912954449654,-0.16099999845027924,-0.0101069,999,,,,,,,3.6,3.6,3.6,3.6,0.102,0.135,0.166,0.198,0.233,0.275,0.328,0.403,0.536,0.259,0.268,0.275,0.281,0.287,0.293,0.299,0.307,0.318,"Matt Carpenter","8090",572761
"Travis Blankenhorn",,3.27,13.3706,12.0193,2.6011,1.5461,0.5615,0.0371,0.4564,1.4225,1.5106,1.0563,0.0267,3.7861,0.1738,0.0918,0.0294,,0.0905,0.0284,0.21641,0.0790015,0.283165,0.278994,0.287171,0.383217,0.292667,0.670388,0.166807,3.63682,0.272564,-0.005,-0.0151024,1.37561,-0.188459,88.0091,-0.0201024,0,-0.20768562145531178,-0.38100001215934753,-0.0147893,999,,,,,,,10.7,3.566666666,10.7,3.566666666,0.146,0.179,0.207,0.234,0.263,0.296,0.335,0.388,0.475,0.27,0.277,0.283,0.288,0.292,0.297,0.302,0.308,0.316,"Travis Blankenhorn","18395",663905
"Blaze Alexander","ARI",33.48,135.723,122.273,28.1982,19.3421,5.6251,0.6475,2.5835,13.9973,13.1046,9.9078,0,40.8515,2.1716,0.9581,0.4126,,1.6973,0.5243,0.230617,0.0730001,0.300991,0.242532,0.297668,0.350599,0.286946,0.648266,0.119982,4.73953,0.321001,-0.008,-0.120877,13.3387,-2.53789,81.1664,-0.128877,0.089,-3.1855386942625046,-1.5229999870061874,-0.0195012,748.7899780273438,,,,,,,123.1,3.73030303,123.1,3.73030303,0.231,0.247,0.26,0.272,0.283,0.295,0.308,0.324,0.348,0.262,0.27,0.276,0.281,0.286,0.291,0.297,0.304,0.313,"Blaze Alexander","23789",677942
"Garrett Cooper","ATL",6.19,25.9252,23.4675,5.4862,3.6097,1.0817,0.0938,0.701,2.7841,2.8434,1.9159,0,7.5354,0.3111,0.1795,0.0511,,0.0695,0.0216,0.233779,0.0739012,0.29066,0.254253,0.298106,0.377479,0.296433,0.675586,0.143701,3.30625,0.310514,-0.076,-0.0409138,2.74585,-0.286822,87.9935,-0.116914,-0.052,-0.48913218080997467,-0.5679999738931656,-0.0200151,750.5499877929688,,,,,,,23.3,3.883333333,23.3,3.883333333,0.184,0.213,0.236,0.258,0.281,0.305,0.334,0.37,0.428,0.272,0.28,0.286,0.291,0.296,0.301,0.306,0.313,0.322,"Garrett Cooper","15279",643265
"Darick Hall","PIT",11.02,44.2593,39.7672,8.9193,5.6484,1.7973,0.0733,1.4004,4.6827,4.8979,3.7001,0.177,11.1945,0.3541,0.3121,0.1258,,0.1949,0.0579,0.224288,0.0836005,0.25293,0.330528,0.29396,0.378817,0.293576,0.672778,0.154529,2.99637,0.27357,-0.029,-0.0596499,4.58593,-0.591436,84.6767,-0.0886499,0.08,-0.899644136428833,-0.8379999846220016,-0.0272411,745.1400146484375,,,,,,,37.6,3.418181818,37.6,3.418181818,0.203,0.227,0.247,0.265,0.284,0.303,0.325,0.354,0.397,0.271,0.278,0.284,0.289,0.293,0.298,0.303,0.308,0.317,"Darick Hall","19717",669742
"Matt Mervis","MIA",80.81,338.116,300.236,66.5094,40.0728,13.5853,0.6455,12.2058,36.2534,39.2482,30.3966,0.6762,95.2348,4.3955,2.5815,0.5068,,1.8939,0.6013,0.221524,0.0898999,0.281663,0.319175,0.300055,0.393035,0.302923,0.69309,0.171511,3.10453,0.277943,-0.301,-0.450279,37.5776,-1.97453,90.9328,-0.751279,0.348,-4.417360544204712,-7.312999784946442,-0.0486186,581.1599731445312,,,,,,,337.3,4.16419753,337.3,4.16419753,0.261,0.274,0.284,0.293,0.301,0.31,0.319,0.331,0.347,0.279,0.287,0.293,0.298,0.302,0.307,0.312,0.319,0.327,"Matt Mervis","27845",670223
"Trey Mancini","ARI",9.07,36.9552,33.2505,7.6712,5.061,1.5862,0.1051,0.9189,3.8156,3.891,2.8825,0.0739,9.7258,0.4804,0.258,0.0838,,0.1824,0.0542,0.230709,0.0779998,0.263178,0.296377,0.299259,0.367643,0.293066,0.666902,0.136933,3.36981,0.295327,-0.087,-0.0513731,3.81395,-0.509004,85.2854,-0.138373,-0.032,-0.7886310666799545,-0.9390000067651272,-0.0513275,750.9299926757812,,,,,,,36,4,36,4,0.197,0.223,0.243,0.263,0.282,0.303,0.326,0.357,0.403,0.268,0.276,0.282,0.287,0.292,0.297,0.303,0.31,0.319,"Trey Mancini","15149",641820
"Stone Garrett","WSN",7.54,31.0241,28.2214,6.2063,3.8973,1.3061,0.0569,0.9461,3.1176,3.3584,2.212,0.031,9.6207,0.3102,0.2182,0.0622,,0.2854,0.0833,0.219915,0.0712994,0.310104,0.229921,0.281912,0.370804,0.285499,0.652716,0.150889,3.58327,0.294313,0.005,-0.0270778,3.01289,-0.616254,82.191,-0.0220778,0,-0.6827721931040287,-0.8799999952316284,-0.0546998,733.3599853515625,,,,,,,23.9,2.9875,23.9,2.9875,0.181,0.208,0.23,0.251,0.272,0.294,0.321,0.354,0.407,0.261,0.269,0.275,0.28,0.285,0.29,0.295,0.302,0.311,"Stone Garrett","19273",656448
"Kris Bryant","COL",79.64,344.033,306.338,76.2376,50.1574,14.8768,0.9334,10.2699,38.4814,40.5664,29.3116,0,81.9454,5.8486,2.2317,0.3035,,0.7417,0.2316,0.248868,0.0851999,0.23819,0.357697,0.324085,0.404099,0.319528,0.728184,0.155231,2.8391,0.304906,-0.052,-0.618822,42.8331,2.58876,91.6259,-0.670822,-0.128,-4.115916132926941,-8.092000231146812,-0.0775884,506.739990234375,,,,,,,369.7,4.62125,369.7,4.62125,0.277,0.291,0.301,0.309,0.318,0.326,0.336,0.347,0.364,0.295,0.303,0.309,0.314,0.319,0.324,0.329,0.336,0.345,"Kris Bryant","15429",592178
