Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Colton Johnson","ATH",0.0474,0.0505,0,4.25061,1,0,0,0,,1,4.373,0.9755,0.5111,0.47229,0.122444,0.4599,0.0253,0.0446,0.8502,7.6518,4.1391,1.84866,1.102,0.19442,0.105168,0.08925221860408783,0.252165,1.4354,0.294578,0.731263,0.441115,,4.57136,-0.00412865,-0.0516558,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Colton Johnson","sa3017750",687439
"Jaime Barria",,0.0485,0.0572,0.022,4.57884,0.7262,0.0582,0,0,,1,4.343,1.0518,0.5449,0.50876,0.153556,0.3222,0.034,0.0387,0.776,6.984,2.8998,2.40844,1.382,0.178678,0.0741884,0.10448998212814331,0.264132,1.374,0.294261,0.715344,0.390993,,4.6934,-0.00413032,-0.0476055,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Jaime Barria","18356",642545
"Justus Sheffield",,0.0496,0.0584,0.0299,4.48965,0.6463,0.0753,0,0,,1,4.411,1.0501,0.5409,0.49885,0.120222,0.4182,0.0188,0.053,0.7247,6.5223,3.7638,1.7329,1.082,0.164294,0.0948084,0.0694853737950325,0.266536,1.4683,0.300457,0.713391,0.47399,,4.69357,-0.00413221,-0.0476055,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Justus Sheffield","17285",656954
"Andrew Miller",,0.0465,0.0514,0,4.56273,1,0,0,0,,1,4.401,1.0276,0.5443,0.50697,0.136222,0.4061,0.025,0.0521,0.8094,7.2846,3.6549,1.99311,1.226,0.183913,0.0922745,0.09163826704025269,0.260627,1.4337,0.297406,0.715533,0.407985,,4.69317,-0.00413788,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Andrew Miller","6785",453192
"Marcel Rentería",,0.0464,0.0515,0,4.59351,1,0,0,0,,1,4.39,0.9965,0.5469,0.51039,0.139222,0.4319,0.0254,0.0495,0.8631,7.7679,3.8871,1.99838,1.253,0.196606,0.0983827,0.0982232317328453,0.254951,1.4284,0.294975,0.71464,0.400988,,4.69437,-0.0041515,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Marcel Renteria","sa3005016",676344
"Brian Moran","ATL",0.0495,0.0484,0,4.44312,1,0,0,0,,1,4.346,1.0297,0.5301,0.49368,0.139556,0.3462,0.0263,0.058,0.8086,7.2774,3.1158,2.33564,1.256,0.186056,0.0796595,0.10639668256044388,0.261226,1.3759,0.297345,0.716463,0.405902,,4.5761,-0.0041518,-0.0461705,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Brian Moran","9646",572383
"Brent Killam",,0.0461,0.0517,0,4.60044,1,0,0,0,,1,4.357,1.0051,0.5454,0.51116,0.160667,0.3727,0.0252,0.0573,0.8526,7.6734,3.3543,2.28763,1.446,0.195685,0.0855405,0.11014459282159805,0.255946,1.3778,0.289811,0.722026,0.370154,,4.83995,-0.00415285,-0.0465893,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Brent Killam","sa3014927",687143
"Ryan Sherriff",,0.0469,0.0509,0,4.46004,1,0,0,0,,1,4.388,1.0098,0.5338,0.49556,0.128333,0.4225,0.0242,0.059,0.7922,7.1298,3.8025,1.87503,1.155,0.180538,0.0962853,0.0842525064945221,0.258492,1.4323,0.295203,0.717289,0.424001,,4.69491,-0.00415768,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Ryan Sherriff","12249",595411
"Alan Strong",,0.0473,0.0543,0.0106,4.60701,0.8681,0.0281,0,0,,1,4.357,1.0109,0.5475,0.51189,0.147444,0.386,0.0216,0.0423,0.8361,7.5249,3.474,2.16606,1.327,0.191898,0.0885931,0.10330501943826675,0.257312,1.3969,0.293178,0.713495,0.389002,,4.69596,-0.00415932,-0.0476055,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Alan Strong","sa3006768",681841
"Sam Freeman",,0.047,0.0508,0,4.45941,1,0,0,0,,1,4.382,0.9862,0.5316,0.49549,0.137444,0.4399,0.0266,0.0427,0.853,7.677,3.9591,1.93908,1.237,0.19466,0.100388,0.09427201002836227,0.252911,1.4261,0.291773,0.725068,0.390995,,4.69506,-0.00415932,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Sam Freeman","6832",518693
